Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
GB014	tetu1245	Is there weight-sensitive suprasegmental prominence, suprasegmental prominence can be loudness, duration, pitch, i.e. stress or tone phenomena?	1	y	long vowels attract stress (but closed syllables do not)	nan	2:no data;3:?;1:y;0:n	
GB020	tetu1245	Are there definite or specific articles?	2	y		nan	1: present;2:y;3:n;0: absent	Not mentioned, Form same as demonstratives, Form same as pronoun, Definiteness marking is done by an element with another function such as numeral classifiers, Definiteness marking is very restricted
GB021	tetu1245	Is an indefinite NP obligatorily accompanied by an indefinite (or non-specific) article?	2	n		nan	3:n/a;1: present;2:n;0: absent	Not mentioned, It exists but it is not obligatory, Same as numeral 'one'
GB022	tetu1245	Are there prenominal articles?	2	n		nan	3:n/a;1: present;2:n;0: absent	Not mentioned, The definite article is prenominal, The indefinite article is prenominal, The definite article is a prefix, The indefinite article is a prefix
GB023	tetu1245	Are there postnominal articles?	2	y		nan	4:n/a;1: present;2:y;3:n;0: absent	Not mentioned, The definite article is postnominal, The indefinite article is postnominal, The definite article is a suffix, The indefinite article is a suffix
GB024	tetu1245	What is the order of numeral and noun in the NP?	4	2		nan	1: Num-N;3: both.;2: N-Num;4:2	Not mentioned, Mostly numeral-noun with a few exceptions, Mostly noun-numeral with a few exceptions, Either order occurs with any numeral
GB025	tetu1245	What is the order of demonstrative and noun in the NP?	5	2		nan	3: both.;1: Dem-N;4:3;5:2;2: N-Dem	Not mentioned, Different demonstratives take different orders, There is free variation, Demonstrative construction has a form both before and after the noun, Demonstrative are treated as suffixes, Demonstrative are treated as prefixes
GB026	tetu1245	Are there 'discontinuous noun phrases'?	2	n		nan	1: present;2:n;0: absent	Not mentioned
GB027	tetu1245	Is there a difference between the marking of NP coordination ('John and Mary went to market') and the marking of comitative phrases ('John went to market with Mary')?	3	n	nó coordinates NPs and clauses	p. 301ff	5:?;0: absent;4:no data;1: present;2:y;3:n	Not mentioned
GB028	tetu1245	Is there an inclusive/exclusive distinction?	2	y		p. 111	1: present;2:y;0: absent	Not mentioned
GB029	tetu1245	Is there a minimal-augmented system?	0	n		nan	0:n	
GB030	tetu1245	Is there a gender distinction in 3rd person pronouns (or demonstratives, if no 3rd person pronouns)?	2	n		nan	1: present;2:n;0: absent	Not mentioned
GB031	tetu1245	Is there a dual (or unit augmented) in addition to a plural (or augmented) number category in pronouns?	2	n		nan	4:?;1: present;3:y;2:n;0: absent	Not mentioned
GB032	tetu1245	Are 1st and 2nd persons conflated in any context?	2	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, Same pronoun form covering both first and second person in some context, Person is marked on the verb and there is a context where first and second person are the same
GB033	tetu1245	Are 2nd and 3rd persons conflated in non-singular numbers?	0	n		nan	0:n	
GB034	tetu1245	Are person categories neutralized under some conditions?	2	n		nan	1: present;2:n;0: absent	Not mentioned, Under negation, In a certain TAM context, Unclear whether the verb form counts as finite
GB035	tetu1245	Is there an opposition between three or more distance terms in the demonstrative system?	3	n		nan	4:?;1: present;2:y;3:n;0: absent	Not mentioned, The distinction is distance from speaker versus hearer
GB036	tetu1245	Is elevation morphologically marked in demonstratives?	5	n/a		nan	4:?;0: absent;5:n/a;1: present;2:y;3:n	Not mentioned
GB037	tetu1245	Is the opposition visible-non-visible marked on demonstratives?	2	n		nan	4:?;1: present;3:y;2:n;0: absent	Not mentioned
GB038	tetu1245	Are there demonstrative classifiers?	2	n		nan	3:?;1: present;2:n;0: absent	Not mentioned, The demonstrative classifier system is the same as another classifier system, Demonstratives agree with what is treated as noun classes
GB039	tetu1245	Are there declensions (partly) determined by number of the noun?	2	n		nan	1: present;2:n;0: absent	Not mentioned, There are different forms for marking number depending on the noun class, There are different forms for marking number which seem to be phonologically conditioned, The markers are adjacentbut not treated as bound
GB040	tetu1245	Are there declensions (partly) determined by gender of the noun?	1	n/a		nan	1:n/a;0:n	
GB041	tetu1245	Are there nouns which are suppletive for number?	2	n		nan	1: present;2:n;0: absent	Not mentioned
GB042	tetu1245	Can singular number be marked on the noun itself?	2	n		nan	1: present;2:n;0: absent	Not mentioned, The marker is adjacent to the noun but not treated as morphologically bound
GB043	tetu1245	Can dual number be marked on the noun itself?	2	n		nan	1: present;2:n;0: absent	Not mentioned, The marker is adjacent to the noun but not treated as morphologically bound
GB044	tetu1245	Can plural number be marked on the noun itself?	2	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, The marker is adjacent to the noun but not treated as morphologically bound
GB045	tetu1245	Is number marking prohibited on certain (types of) nouns?	3	n/a		nan	3:n/a;2:?;1:y;0:n	
GB046	tetu1245	Are there associative plurals?	3	n		nan	5:?;0: absent;4:no data;1: present;2:y;3:n	Not mentioned
GB047	tetu1245	Is there a productive morphologically marked Action/state nominalization (arrive/arrival)?	2	n		nan	4:?;1: present;3:y;2:n;0: absent	Not mentioned, The marker is adjacent to the noun but not treated as morphologically bound, The marker is also a noun
GB048	tetu1245	Is there a productive morphologically marked Agentive nominalization (sing-er)?	3	y	the  prefixes mak- and  ma- derive 'actor' nominalizations	p. 71-72	4:?;1: present;3:y;2:n;0: absent	Not mentioned, The marker is adjacent to the noun but not treated as morphologically bound, The marker means 'person' or similar
GB049	tetu1245	Is there a productive morphologically marked Object nominalization (sing; song)?	3	y		p. 79-80	4:?;1: present;3:y;2:n;0: absent	Not mentioned, The marker is adjacent to the noun but not treated as morphologically bound, The marker means 'thing' or similar
GB050	tetu1245	Are there noun classes/genders?	1	n		nan	2:?;0:y;1:n	
GB051	tetu1245	Is sex a relevant category in any noun class/gender system?	3	n/a		nan	3:n/a;1: present;2:n;0: absent	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
GB052	tetu1245	Is shape a relevant category in any noun class/gender system?	4	n/a		nan	4:n/a;1: present;2:y;3:n;0: absent	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
GB053	tetu1245	Is animacy (without reference to sex) a relevant category in any noun class/gender system?	4	n/a		nan	4:n/a;1: present;2:y;3:n;0: absent	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
GB054	tetu1245	Is plant status a relevant category in any noun class/gender system?	?	Not known		nan	1: present;2:n;0: absent	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
GB055	tetu1245	Does the language only have a gender distinction in 3rd person pronouns?	1	n/a		nan	1:n/a;0:n	
